sample_id,video_path,source_dataset,original_label,mapped_label,label_id,label_type,duration,fps,num_frames,width,height,split,scene_id,camera_id,start_frame,end_frame,notes
Z4kg2Ev3vhk_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/Z4kg2Ev3vhk_00.mp4,ACCIDENT-real,rear-end,accident,1,weak_clip_event_window,30.0,14.166667,425,1584,1080,test,Georgia,Georgia::highway,133,218,accident_time=11.333;type=rear-end
Z4kg2Ev3vhk_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/Z4kg2Ev3vhk_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,30.0,14.166667,425,1584,1080,test,Georgia,Georgia::highway,0,118,derived_pre_accident_until=8.333;weak_negative=true
unS0-TLF1ao_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/unS0-TLF1ao_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,5.96,25.0,149,1920,1080,test,World,World::signalized_intersection,14,149,accident_time=2.56;type=t-bone
UarP8qU1S-c_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/UarP8qU1S-c_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,15.233333,14.63895,223,3840,2160,train,Virginia,Virginia::highway,98,186,accident_time=8.667;type=single
UarP8qU1S-c_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/UarP8qU1S-c_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,15.233333,14.63895,223,3840,2160,train,Virginia,Virginia::highway,0,83,derived_pre_accident_until=5.667;weak_negative=true
UarP8qU1S-c_01__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/UarP8qU1S-c_01.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,6.233333,14.919786,93,3840,2160,train,Virginia,Virginia::highway,0,90,accident_time=2.033999999999999;type=single
nAXTthLfgtI_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/nAXTthLfgtI_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,13.916667,15.017964,209,960,720,test,Virginia,Virginia::highway,32,122,accident_time=4.125;type=single
nAXTthLfgtI_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/nAXTthLfgtI_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,13.916667,15.017964,209,960,720,test,Virginia,Virginia::highway,0,17,derived_pre_accident_until=1.125;weak_negative=true
fzWY0vLAXzI_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/fzWY0vLAXzI_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,8.933333,21.156716,189,1920,1080,test,World,World::signalized_intersection,47,174,accident_time=4.2;type=t-bone
fzWY0vLAXzI_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/fzWY0vLAXzI_00.mp4,ACCIDENT-real,t-bone,non_accident,0,weak_clip_pre_event,8.933333,21.156716,189,1920,1080,test,World,World::signalized_intersection,0,25,derived_pre_accident_until=1.200;weak_negative=true
