sample_id,source_video_id,video_path,source_dataset,original_label,mapped_label,label_id,label_type,window_type,duration,fps,num_frames,width,height,split,scene_id,camera_id,group_id,start_frame,end_frame,clip_start_sec,clip_end_sec,notes,clip_path,annotation_split,annotation_profile
-2UPLUV7JLg_00__pre_event_non_accident,-2UPLUV7JLg_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-2UPLUV7JLg_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,pre_event_non_accident,30.0,9.966667,299,960,720,train,Virginia,Virginia::highway,-2UPLUV7JLg_00,0,37,0.0,3.712375,derived_pre_accident_until=3.708;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/full/train/-2UPLUV7JLg_00__pre_event_non_accident.mp4,train,full
-2UPLUV7JLg_00__accident,-2UPLUV7JLg_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-2UPLUV7JLg_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,accident_window,30.0,9.966667,299,960,720,train,Virginia,Virginia::highway,-2UPLUV7JLg_00,47,107,4.715719,10.735786,accident_time=6.708;type=single;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/full/train/-2UPLUV7JLg_00__accident.mp4,train,full
-Qt5bDJNT84_00__accident,-Qt5bDJNT84_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-Qt5bDJNT84_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,accident_window,3.346154,25.701149,86,1280,720,train,New_York,New_York::highway,-Qt5bDJNT84_00,18,86,0.700358,3.346154,accident_time=2.692;type=single;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/full/train/-Qt5bDJNT84_00__accident.mp4,train,full
-RE3XseZINA_00__pre_event_non_accident,-RE3XseZINA_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-RE3XseZINA_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,pre_event_non_accident,30.333333,12.989011,394,1080,720,train,Alabama,Alabama::highway,-RE3XseZINA_00,0,259,0.0,19.939932,derived_pre_accident_until=19.958;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/full/train/-RE3XseZINA_00__pre_event_non_accident.mp4,train,full
-RE3XseZINA_00__accident,-RE3XseZINA_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-RE3XseZINA_00.mp4,ACCIDENT-real,rear-end,accident,1,weak_clip_event_window,accident_window,30.333333,12.989011,394,1080,720,train,Alabama,Alabama::highway,-RE3XseZINA_00,272,350,20.940778,26.945854,accident_time=22.958;type=rear-end;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/full/train/-RE3XseZINA_00__accident.mp4,train,full
-dVU8qW4ik8_00__pre_event_non_accident,-dVU8qW4ik8_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-dVU8qW4ik8_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,pre_event_non_accident,30.041667,14.979196,450,1080,720,train,Tennessee,Tennessee::highway,-dVU8qW4ik8_00,0,24,0.0,1.602222,derived_pre_accident_until=1.625;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/full/train/-dVU8qW4ik8_00__pre_event_non_accident.mp4,train,full
-dVU8qW4ik8_00__accident,-dVU8qW4ik8_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-dVU8qW4ik8_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,accident_window,30.041667,14.979196,450,1080,720,train,Tennessee,Tennessee::highway,-dVU8qW4ik8_00,39,129,2.603611,8.611944,accident_time=4.625;type=single;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/full/train/-dVU8qW4ik8_00__accident.mp4,train,full
-dmYsQc-odI_00__pre_event_non_accident,-dmYsQc-odI_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-dmYsQc-odI_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,pre_event_non_accident,30.125,8.033195,242,1280,720,train,Arkansas,Arkansas::highway,-dmYsQc-odI_00,0,22,0.0,2.738636,derived_pre_accident_until=2.750;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/full/train/-dmYsQc-odI_00__pre_event_non_accident.mp4,train,full
-dmYsQc-odI_00__accident,-dmYsQc-odI_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-dmYsQc-odI_00.mp4,ACCIDENT-real,rear-end,accident,1,weak_clip_event_window,accident_window,30.125,8.033195,242,1280,720,train,Arkansas,Arkansas::highway,-dmYsQc-odI_00,30,78,3.734504,9.709711,accident_time=5.75;type=rear-end;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/full/train/-dmYsQc-odI_00__accident.mp4,train,full
-yLuZ5wxAsc_00__pre_event_non_accident,-yLuZ5wxAsc_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-yLuZ5wxAsc_00.mp4,ACCIDENT-real,t-bone,non_accident,0,weak_clip_pre_event,pre_event_non_accident,30.0,26.166667,785,1280,720,train,Alabama,Alabama::highway,-yLuZ5wxAsc_00,0,74,0.0,2.828025,derived_pre_accident_until=2.833;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/full/train/-yLuZ5wxAsc_00__pre_event_non_accident.mp4,train,full
