sample_id,source_video_id,video_path,source_dataset,original_label,mapped_label,label_id,label_type,window_type,duration,fps,num_frames,width,height,split,scene_id,camera_id,group_id,start_frame,end_frame,clip_start_sec,clip_end_sec,notes,clip_path,annotation_split,annotation_profile
-2UPLUV7JLg_00__accident,-2UPLUV7JLg_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-2UPLUV7JLg_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,accident_window,30.0,9.966667,299,960,720,train,Virginia,Virginia::highway,-2UPLUV7JLg_00,47,107,4.715719,10.735786,accident_time=6.708;type=single;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/medium/train/-2UPLUV7JLg_00__accident.mp4,train,medium
-RE3XseZINA_00__accident,-RE3XseZINA_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-RE3XseZINA_00.mp4,ACCIDENT-real,rear-end,accident,1,weak_clip_event_window,accident_window,30.333333,12.989011,394,1080,720,train,Alabama,Alabama::highway,-RE3XseZINA_00,272,350,20.940778,26.945854,accident_time=22.958;type=rear-end;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/medium/train/-RE3XseZINA_00__accident.mp4,train,medium
-dVU8qW4ik8_00__accident,-dVU8qW4ik8_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-dVU8qW4ik8_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,accident_window,30.041667,14.979196,450,1080,720,train,Tennessee,Tennessee::highway,-dVU8qW4ik8_00,39,129,2.603611,8.611944,accident_time=4.625;type=single;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/medium/train/-dVU8qW4ik8_00__accident.mp4,train,medium
-dmYsQc-odI_00__pre_event_non_accident,-dmYsQc-odI_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-dmYsQc-odI_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,pre_event_non_accident,30.125,8.033195,242,1280,720,train,Arkansas,Arkansas::highway,-dmYsQc-odI_00,0,22,0.0,2.738636,derived_pre_accident_until=2.750;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/medium/train/-dmYsQc-odI_00__pre_event_non_accident.mp4,train,medium
0DB7w7rLGrk_00__accident,0DB7w7rLGrk_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/0DB7w7rLGrk_00.mp4,ACCIDENT-real,rear-end,accident,1,weak_clip_event_window,accident_window,29.958333,15.020862,450,960,720,train,Virginia,Virginia::highway,0DB7w7rLGrk_00,0,84,0.0,5.592222,accident_time=1.625;type=rear-end;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/medium/train/0DB7w7rLGrk_00__accident.mp4,train,medium
1fpsdsKWH_M_00__pre_event_non_accident,1fpsdsKWH_M_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/1fpsdsKWH_M_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,pre_event_non_accident,30.037037,22.938348,689,1280,720,train,Seattle,Seattle::highway,1fpsdsKWH_M_00,0,51,0.0,2.223351,derived_pre_accident_until=2.222;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/medium/train/1fpsdsKWH_M_00__pre_event_non_accident.mp4,train,medium
1fpsdsKWH_M_00__accident,1fpsdsKWH_M_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/1fpsdsKWH_M_00.mp4,ACCIDENT-real,rear-end,accident,1,weak_clip_event_window,accident_window,30.037037,22.938348,689,1280,720,train,Seattle,Seattle::highway,1fpsdsKWH_M_00,74,212,3.226039,9.242165,accident_time=5.222;type=rear-end;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/medium/train/1fpsdsKWH_M_00__accident.mp4,train,medium
1jCpA4y5NHY_00__accident,1jCpA4y5NHY_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/1jCpA4y5NHY_00.mp4,ACCIDENT-real,rear-end,accident,1,weak_clip_event_window,accident_window,30.033333,14.950055,449,1920,1080,train,Georgia,Georgia::highway,1jCpA4y5NHY_00,25,115,1.672235,7.692279,accident_time=3.7;type=rear-end;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/medium/train/1jCpA4y5NHY_00__accident.mp4,train,medium
2vEysG50vYY_00__pre_event_non_accident,2vEysG50vYY_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/2vEysG50vYY_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,pre_event_non_accident,29.916667,10.027855,300,960,720,train,Virginia,Virginia::highway,2vEysG50vYY_00,0,23,0.0,2.293611,derived_pre_accident_until=2.292;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/medium/train/2vEysG50vYY_00__pre_event_non_accident.mp4,train,medium
3Jiii8dJ4UY_00__pre_event_non_accident,3Jiii8dJ4UY_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/3Jiii8dJ4UY_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,pre_event_non_accident,29.958333,10.047288,301,960,720,train,Virginia,Virginia::highway,3Jiii8dJ4UY_00,0,22,0.0,2.189646,derived_pre_accident_until=2.167;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/medium/train/3Jiii8dJ4UY_00__pre_event_non_accident.mp4,train,medium
