sample_id,source_video_id,video_path,source_dataset,original_label,mapped_label,label_id,label_type,window_type,duration,fps,num_frames,width,height,split,scene_id,camera_id,group_id,start_frame,end_frame,clip_start_sec,clip_end_sec,notes,clip_path,annotation_split,annotation_profile
-2UPLUV7JLg_00__accident,-2UPLUV7JLg_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-2UPLUV7JLg_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,accident_window,30.0,9.966667,299,960,720,train,Virginia,Virginia::highway,-2UPLUV7JLg_00,47,107,4.715719,10.735786,accident_time=6.708;type=single;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/-2UPLUV7JLg_00__accident.mp4,train,small
-dmYsQc-odI_00__pre_event_non_accident,-dmYsQc-odI_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/-dmYsQc-odI_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,pre_event_non_accident,30.125,8.033195,242,1280,720,train,Arkansas,Arkansas::highway,-dmYsQc-odI_00,0,22,0.0,2.738636,derived_pre_accident_until=2.750;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/-dmYsQc-odI_00__pre_event_non_accident.mp4,train,small
3Xd6PxEvbNk_2_00__accident,3Xd6PxEvbNk_2_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/3Xd6PxEvbNk_2_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,accident_window,11.9119,16.202285,193,480,360,train,World,World::signalized_intersection,3Xd6PxEvbNk_2_00,63,160,3.88834,9.87515,accident_time=5.872533;type=t-bone;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/3Xd6PxEvbNk_2_00__accident.mp4,train,small
3Xd6PxEvbNk_5_00__pre_event_non_accident,3Xd6PxEvbNk_5_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/3Xd6PxEvbNk_5_00.mp4,ACCIDENT-real,t-bone,non_accident,0,weak_clip_pre_event,pre_event_non_accident,14.748067,22.850453,337,480,360,train,World,World::signalized_intersection,3Xd6PxEvbNk_5_00,0,150,0.0,6.564421,derived_pre_accident_until=6.543;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/3Xd6PxEvbNk_5_00__pre_event_non_accident.mp4,train,small
63jg9PMxHZM_00__pre_event_non_accident,63jg9PMxHZM_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/63jg9PMxHZM_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,pre_event_non_accident,29.333333,14.965909,439,960,720,train,Virginia,Virginia::highway,63jg9PMxHZM_00,0,21,0.0,1.403189,derived_pre_accident_until=1.375;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/63jg9PMxHZM_00__pre_event_non_accident.mp4,train,small
651RQwxB3WA_2_00__pre_event_non_accident,651RQwxB3WA_2_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/651RQwxB3WA_2_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,pre_event_non_accident,8.833333,5.09434,45,320,160,train,World,World::city_street,651RQwxB3WA_2_00,0,8,0.0,1.57037,derived_pre_accident_until=1.500;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/651RQwxB3WA_2_00__pre_event_non_accident.mp4,train,small
67eBRe-YfEE_2_00__accident,67eBRe-YfEE_2_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/67eBRe-YfEE_2_00.mp4,ACCIDENT-real,rear-end,accident,1,weak_clip_event_window,accident_window,7.3073,25.864546,189,1280,720,train,World,World::city_street,67eBRe-YfEE_2_00,0,142,0.0,5.490141,accident_time=1.5014999999999996;type=rear-end;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/67eBRe-YfEE_2_00__accident.mp4,train,small
7YEUfIVVk9Y_0_00__accident,7YEUfIVVk9Y_0_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/7YEUfIVVk9Y_0_00.mp4,ACCIDENT-real,rear-end,accident,1,weak_clip_event_window,accident_window,6.68,24.700599,165,1280,720,train,World,World::city_street,7YEUfIVVk9Y_0_00,0,116,0.0,4.696242,accident_time=0.68;type=rear-end;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/7YEUfIVVk9Y_0_00__accident.mp4,train,small
7YEUfIVVk9Y_4_00__accident,7YEUfIVVk9Y_4_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/7YEUfIVVk9Y_4_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,accident_window,4.32,25.0,108,1280,720,train,World,World::signalized_intersection,7YEUfIVVk9Y_4_00,0,108,0.0,4.32,accident_time=0.52;type=t-bone;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/7YEUfIVVk9Y_4_00__accident.mp4,train,small
9DRFJxKHc6g_2_00__pre_event_non_accident,9DRFJxKHc6g_2_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/9DRFJxKHc6g_2_00.mp4,ACCIDENT-real,t-bone,non_accident,0,weak_clip_pre_event,pre_event_non_accident,8.775433,24.272306,213,1280,720,train,World,World::signalized_intersection,9DRFJxKHc6g_2_00,0,52,0.0,2.142359,derived_pre_accident_until=2.138;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/9DRFJxKHc6g_2_00__pre_event_non_accident.mp4,train,small
9PeFHB3oBKg_00__pre_event_non_accident,9PeFHB3oBKg_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/9PeFHB3oBKg_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,pre_event_non_accident,30.0,11.233333,337,960,720,train,Alabama,Alabama::highway,9PeFHB3oBKg_00,0,32,0.0,2.848665,derived_pre_accident_until=2.875;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/9PeFHB3oBKg_00__pre_event_non_accident.mp4,train,small
9fKAb-gGLRM_1_00__pre_event_non_accident,9fKAb-gGLRM_1_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/9fKAb-gGLRM_1_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,pre_event_non_accident,11.8,9.830508,116,1280,720,train,World,World::simple_intersection,9fKAb-gGLRM_1_00,0,20,0.0,2.034483,derived_pre_accident_until=2.000;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/9fKAb-gGLRM_1_00__pre_event_non_accident.mp4,train,small
9fKAb-gGLRM_1_00__accident,9fKAb-gGLRM_1_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/9fKAb-gGLRM_1_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,accident_window,11.8,9.830508,116,1280,720,train,World,World::simple_intersection,9fKAb-gGLRM_1_00,29,88,2.95,8.951724,accident_time=5.0;type=single;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/9fKAb-gGLRM_1_00__accident.mp4,train,small
AJKLxHzIHYY_13_00__accident,AJKLxHzIHYY_13_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/AJKLxHzIHYY_13_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,accident_window,2.6,24.230769,63,480,360,train,World,World::signalized_intersection,AJKLxHzIHYY_13_00,0,63,0.0,2.6,accident_time=1.08;type=t-bone;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/AJKLxHzIHYY_13_00__accident.mp4,train,small
ALFF5620ljk_10_00__pre_event_non_accident,ALFF5620ljk_10_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/ALFF5620ljk_10_00.mp4,ACCIDENT-real,t-bone,non_accident,0,weak_clip_pre_event,pre_event_non_accident,11.633333,20.114613,234,540,360,train,World,World::signalized_intersection,ALFF5620ljk_10_00,0,99,0.0,4.921795,derived_pre_accident_until=4.900;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/ALFF5620ljk_10_00__pre_event_non_accident.mp4,train,small
ALFF5620ljk_10_00__accident,ALFF5620ljk_10_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/ALFF5620ljk_10_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,accident_window,11.633333,20.114613,234,540,360,train,World,World::signalized_intersection,ALFF5620ljk_10_00,119,234,5.916097,11.633333,accident_time=7.9;type=t-bone;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/ALFF5620ljk_10_00__accident.mp4,train,small
ALFF5620ljk_1_00__accident,ALFF5620ljk_1_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/ALFF5620ljk_1_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,accident_window,11.666667,20.057143,234,540,360,train,World,World::signalized_intersection,ALFF5620ljk_1_00,141,234,7.029915,11.666667,accident_time=9.0;type=t-bone;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/ALFF5620ljk_1_00__accident.mp4,train,small
ALFF5620ljk_2_00__pre_event_non_accident,ALFF5620ljk_2_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/ALFF5620ljk_2_00.mp4,ACCIDENT-real,t-bone,non_accident,0,weak_clip_pre_event,pre_event_non_accident,11.833333,20.028169,237,540,360,train,World,World::signalized_intersection,ALFF5620ljk_2_00,0,86,0.0,4.293952,derived_pre_accident_until=4.300;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/ALFF5620ljk_2_00__pre_event_non_accident.mp4,train,small
ALFF5620ljk_3_00__accident,ALFF5620ljk_3_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/ALFF5620ljk_3_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,accident_window,11.133333,19.221557,214,540,360,train,World,World::signalized_intersection,ALFF5620ljk_3_00,113,214,5.878816,11.133333,accident_time=7.833333;type=t-bone;weak_clip=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/ALFF5620ljk_3_00__accident.mp4,train,small
ApyekBAgfg8_00__pre_event_non_accident,ApyekBAgfg8_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/ApyekBAgfg8_00.mp4,ACCIDENT-real,head-on,non_accident,0,weak_clip_pre_event,pre_event_non_accident,30.041667,14.945908,449,1056,720,train,Alabama,Alabama::signalized_intersection,ApyekBAgfg8_00,0,15,0.0,1.003619,derived_pre_accident_until=1.000;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/ApyekBAgfg8_00__pre_event_non_accident.mp4,train,small
BX8gqiZIIHs_00__pre_event_non_accident,BX8gqiZIIHs_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/BX8gqiZIIHs_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,pre_event_non_accident,9.9,14.848485,147,1920,1080,train,Virginia,Virginia::highway,BX8gqiZIIHs_00,0,62,0.0,4.17551,derived_pre_accident_until=4.200;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/BX8gqiZIIHs_00__pre_event_non_accident.mp4,train,small
EAXHuVGCmSA_00__pre_event_non_accident,EAXHuVGCmSA_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/EAXHuVGCmSA_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,pre_event_non_accident,30.041667,14.979196,450,960,720,train,Virginia,Virginia::highway,EAXHuVGCmSA_00,0,31,0.0,2.069537,derived_pre_accident_until=2.042;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/EAXHuVGCmSA_00__pre_event_non_accident.mp4,train,small
EzI5Rn3z4ew_00__pre_event_non_accident,EzI5Rn3z4ew_00,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/EzI5Rn3z4ew_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,pre_event_non_accident,30.033333,14.983352,450,1920,1080,train,Virginia,Virginia::highway,EzI5Rn3z4ew_00,0,31,0.0,2.068963,derived_pre_accident_until=2.100;weak_negative=true,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_mmaction_clips/small/train/EzI5Rn3z4ew_00__pre_event_non_accident.mp4,train,small
