sample_id,video_path,source_dataset,original_label,mapped_label,label_id,label_type,duration,fps,num_frames,width,height,split,scene_id,camera_id,start_frame,end_frame,notes,clip_path,annotation_split
9DRFJxKHc6g_4_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/9DRFJxKHc6g_4_00.mp4,ACCIDENT-real,head-on,non_accident,0,weak_clip_pre_event,12.746067,25.027329,319,1280,720,train,World,World::simple_intersection,0,94,derived_pre_accident_until=3.740;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/9DRFJxKHc6g_4_00__pre_event_non_accident.mp4,train
6mVcTFd5TzI_23_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/6mVcTFd5TzI_23_00.mp4,ACCIDENT-real,t-bone,non_accident,0,weak_clip_pre_event,6.56,21.493902,141,320,240,train,World,World::signalized_intersection,0,34,derived_pre_accident_until=1.560;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/6mVcTFd5TzI_23_00__pre_event_non_accident.mp4,train
rk8CtIpbG5w_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/rk8CtIpbG5w_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,30.0,29.766667,893,1080,720,train,Minnesota,Minnesota::highway,0,119,derived_pre_accident_until=4.000;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/rk8CtIpbG5w_00__pre_event_non_accident.mp4,train
x2ymyeli9Xc_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/x2ymyeli9Xc_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,23.5,15.021277,353,960,720,train,Virginia,Virginia::highway,0,25,derived_pre_accident_until=1.667;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/x2ymyeli9Xc_00__pre_event_non_accident.mp4,train
gtKsxCrjJ2Q_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/gtKsxCrjJ2Q_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,29.916667,10.061281,301,960,720,train,Virginia,Virginia::highway,0,40,derived_pre_accident_until=3.958;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/gtKsxCrjJ2Q_00__pre_event_non_accident.mp4,train
63jg9PMxHZM_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/63jg9PMxHZM_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,29.333333,14.965909,439,960,720,train,Virginia,Virginia::highway,0,21,derived_pre_accident_until=1.375;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/63jg9PMxHZM_00__pre_event_non_accident.mp4,train
mllfWsyVZ1s_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/mllfWsyVZ1s_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,30.0,13.033333,391,1280,720,train,Alabama,Alabama::highway,0,29,derived_pre_accident_until=2.208;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/mllfWsyVZ1s_00__pre_event_non_accident.mp4,train
D1eP4Bn4hDQ_0_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/D1eP4Bn4hDQ_0_00.mp4,ACCIDENT-real,t-bone,non_accident,0,weak_clip_pre_event,17.916667,20.818605,373,1280,720,train,World,World::signalized_intersection,0,43,derived_pre_accident_until=2.083;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/D1eP4Bn4hDQ_0_00__pre_event_non_accident.mp4,train
BpMHNEa79lo_2_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/BpMHNEa79lo_2_00.mp4,ACCIDENT-real,sideswipe,non_accident,0,weak_clip_pre_event,12.233333,24.93188,305,1280,720,train,World,World::signalized_intersection,0,132,derived_pre_accident_until=5.300;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/BpMHNEa79lo_2_00__pre_event_non_accident.mp4,train
9PeFHB3oBKg_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/9PeFHB3oBKg_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,30.0,11.233333,337,960,720,train,Alabama,Alabama::highway,0,32,derived_pre_accident_until=2.875;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/9PeFHB3oBKg_00__pre_event_non_accident.mp4,train
